z = 9999.500000, approx 1
z = 9999.000000, approx 1
z = 9998.500000, approx 1
z = 9998.000000, approx 1
z = 9997.500000, approx 1
z = 9997.000000, approx 1
z = 9996.500000, approx 1
z = 9996.000000, approx 1
z = 9995.500000, approx 1
z = 9995.000000, approx 1
z = 9994.500000, approx 1
z = 9994.000000, approx 1
z = 9993.500000, approx 1
z = 9993.000000, approx 1
z = 9992.500000, approx 1
z = 9992.000000, approx 1
z = 9991.500000, approx 1
z = 9991.000000, approx 1
z = 9990.500000, approx 1
z = 9990.000000, approx 1
z = 9989.500000, approx 1
z = 9989.000000, approx 1
z = 9988.500000, approx 1
z = 9988.000000, approx 1
z = 9987.500000, approx 1
z = 9987.000000, approx 1
z = 9986.500000, approx 1
z = 9986.000000, approx 1
z = 9985.500000, approx 1
z = 9985.000000, approx 1
z = 9984.500000, approx 1
z = 9984.000000, approx 1
z = 9983.500000, approx 1
z = 9983.000000, approx 1
z = 9982.500000, approx 1
z = 9982.000000, approx 1
z = 9981.500000, approx 1
z = 9981.000000, approx 1
z = 9980.500000, approx 1
z = 9980.000000, approx 1
z = 9979.500000, approx 1
z = 9979.000000, approx 1
z = 9978.500000, approx 1
z = 9978.000000, approx 1
z = 9977.500000, approx 1
z = 9977.000000, approx 1
z = 9976.500000, approx 1
z = 9976.000000, approx 1
z = 9975.500000, approx 1
z = 9975.000000, approx 1
z = 9974.500000, approx 1
z = 9974.000000, approx 1
z = 9973.500000, approx 1
z = 9973.000000, approx 1
z = 9972.500000, approx 1
z = 9972.000000, approx 1
z = 9971.500000, approx 1
z = 9971.000000, approx 1
z = 9970.500000, approx 1
z = 9970.000000, approx 1
z = 9969.500000, approx 1
z = 9969.000000, approx 1
z = 9968.500000, approx 1
z = 9968.000000, approx 1
z = 9967.500000, approx 1
z = 9967.000000, approx 1
z = 9966.500000, approx 1
z = 9966.000000, approx 1
z = 9965.500000, approx 1
z = 9965.000000, approx 1
z = 9964.500000, approx 1
z = 9964.000000, approx 1
z = 9963.500000, approx 1
z = 9963.000000, approx 1
z = 9962.500000, approx 1
z = 9962.000000, approx 1
z = 9961.500000, approx 1
z = 9961.000000, approx 1
z = 9960.500000, approx 1
z = 9960.000000, approx 1
z = 9959.500000, approx 1
z = 9959.000000, approx 1
z = 9958.500000, approx 1
z = 9958.000000, approx 1
z = 9957.500000, approx 1
z = 9957.000000, approx 1
z = 9956.500000, approx 1
z = 9956.000000, approx 1
z = 9955.500000, approx 1
z = 9955.000000, approx 1
z = 9954.500000, approx 1
z = 9954.000000, approx 1
z = 9953.500000, approx 1
z = 9953.000000, approx 1
z = 9952.500000, approx 1
z = 9952.000000, approx 1
z = 9951.500000, approx 1
z = 9951.000000, approx 1
z = 9950.500000, approx 1
z = 9950.000000, approx 1
z = 9949.500000, approx 1
z = 9949.000000, approx 1
z = 9948.500000, approx 1
z = 9948.000000, approx 1
z = 9947.500000, approx 1
z = 9947.000000, approx 1
z = 9946.500000, approx 1
z = 9946.000000, approx 1
z = 9945.500000, approx 1
z = 9945.000000, approx 1
z = 9944.500000, approx 1
z = 9944.000000, approx 1
z = 9943.500000, approx 1
z = 9943.000000, approx 1
z = 9942.500000, approx 1
z = 9942.000000, approx 1
z = 9941.500000, approx 1
z = 9941.000000, approx 1
z = 9940.500000, approx 1
z = 9940.000000, approx 1
z = 9939.500000, approx 1
z = 9939.000000, approx 1
z = 9938.500000, approx 1
z = 9938.000000, approx 1
z = 9937.500000, approx 1
z = 9937.000000, approx 1
z = 9936.500000, approx 1
z = 9936.000000, approx 1
z = 9935.500000, approx 1
z = 9935.000000, approx 1
z = 9934.500000, approx 1
z = 9934.000000, approx 1
z = 9933.500000, approx 1
z = 9933.000000, approx 1
z = 9932.500000, approx 1
z = 9932.000000, approx 1
z = 9931.500000, approx 1
z = 9931.000000, approx 1
z = 9930.500000, approx 1
z = 9930.000000, approx 1
z = 9929.500000, approx 1
z = 9929.000000, approx 1
z = 9928.500000, approx 1
z = 9928.000000, approx 1
z = 9927.500000, approx 1
z = 9927.000000, approx 1
z = 9926.500000, approx 1
z = 9926.000000, approx 1
z = 9925.500000, approx 1
z = 9925.000000, approx 1
z = 9924.500000, approx 1
z = 9924.000000, approx 1
z = 9923.500000, approx 1
z = 9923.000000, approx 1
z = 9922.500000, approx 1
z = 9922.000000, approx 1
z = 9921.500000, approx 1
z = 9921.000000, approx 1
z = 9920.500000, approx 1
z = 9920.000000, approx 1
z = 9919.500000, approx 1
z = 9919.000000, approx 1
z = 9918.500000, approx 1
z = 9918.000000, approx 1
z = 9917.500000, approx 1
z = 9917.000000, approx 1
z = 9916.500000, approx 1
z = 9916.000000, approx 1
z = 9915.500000, approx 1
z = 9915.000000, approx 1
z = 9914.500000, approx 1
z = 9914.000000, approx 1
z = 9913.500000, approx 1
z = 9913.000000, approx 1
z = 9912.500000, approx 1
z = 9912.000000, approx 1
z = 9911.500000, approx 1
z = 9911.000000, approx 1
z = 9910.500000, approx 1
