# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495437887245e-10       7.309026172910e-15       4.815171199968e-13       0.000000000000e+00       8.628903609679e-09       4.854772125959e-10      -2.515854151610e-12 
    3       1.409365943159e-10       1.238791651650e-14       6.068719691955e-13       0.000000000000e+00       5.411291720485e-09       3.469573589560e-10      -2.211507031146e-12 
    4       1.324622774414e-10       1.446512635930e-14       6.277976520571e-13       0.000000000000e+00       3.776588552356e-09       2.639785049442e-10      -1.764116067080e-12 
    5       1.257504766884e-10       1.337853519881e-14       5.879551646995e-13       0.000000000000e+00       2.821984229949e-09       2.093815834041e-10      -1.309529286442e-12 
    6       1.208053913402e-10       1.032310747924e-14       5.173990841434e-13       0.000000000000e+00       2.205212282906e-09       1.709429030498e-10      -8.948468925479e-13 
    7       1.173297571603e-10       6.841600365876e-15       4.365335862008e-13       0.000000000000e+00       1.778233642554e-09       1.425663906810e-10      -5.443860557764e-13 
    8       1.150037074290e-10       4.042374146251e-15       3.576623511391e-13       0.000000000000e+00       1.468351550446e-09       1.208855285654e-10      -2.689334595818e-13 
    9       1.135829009287e-10       2.336357197398e-15       2.880590507265e-13       0.000000000000e+00       1.235838580349e-09       1.038809728317e-10      -7.009986710530e-14 
   10       1.128526891892e-10       1.571653533688e-15       2.317799681295e-13       0.000000000000e+00       1.056623420503e-09       9.029297749337e-11       5.745597591400e-14 
   11       1.126728148804e-10       1.345905907619e-15       1.905574141885e-13       0.000000000000e+00       8.886898863088e-10       7.950622697147e-11       1.233291888125e-13 
   12       1.129346479221e-10       1.288312421132e-15       1.640636561766e-13       0.000000000000e+00       7.765278491469e-10       7.028426666215e-11       1.421600854688e-13 
   13       1.135181527053e-10       1.200674797111e-15       1.505300362956e-13       0.000000000000e+00       6.844563324241e-10       6.274647438439e-11       1.277329345144e-13 
   14       1.143248537189e-10       1.054790798636e-15       1.474046706741e-13       0.000000000000e+00       6.078507019714e-10       5.620932691492e-11       9.279532798926e-14 
   15       1.153611554926e-10       9.105397340086e-16       1.516730192697e-13       0.000000000000e+00       5.433693947954e-10       5.074770719896e-11       4.959311353048e-14 
   16       1.165881727125e-10       8.293959318818e-16       1.602914709999e-13       0.000000000000e+00       4.885455303459e-10       4.611880694765e-11       7.232457003794e-15 
   17       1.179228765257e-10       8.287731533300e-16       1.707806936518e-13       0.000000000000e+00       4.415155572542e-10       4.212234974447e-11      -2.792920700884e-14 
   18       1.193693327777e-10       8.811664361787e-16       1.812740701022e-13       0.000000000000e+00       4.006946005401e-10       3.857273443172e-11      -5.233421672361e-14 
   19       1.209354735068e-10       9.538926646923e-16       1.907919251125e-13       0.000000000000e+00       3.654375301662e-10       3.544037774836e-11      -6.510245766420e-14 
   20       1.225654210788e-10       1.013472815644e-15       1.985909989431e-13       0.000000000000e+00       3.343837601545e-10       3.267209128176e-11      -6.706958873659e-14 
   21       1.242710985540e-10       1.062834165226e-15       2.047508483486e-13       0.000000000000e+00       3.070458375559e-10       3.022365458137e-11      -6.038518070505e-14 
   22       1.260522063992e-10       1.120089788914e-15       2.097242387512e-13       0.000000000000e+00       2.827706819687e-10       2.801369643519e-11      -4.840846304234e-14 
   23       1.278979535936e-10       1.204635700195e-15       2.139590306102e-13       0.000000000000e+00       2.612248132148e-10       2.601113665958e-11      -3.407762215496e-14 
   24       1.297762579735e-10       1.335071215320e-15       2.179755426509e-13       0.000000000000e+00       2.419102417777e-10       2.418236760116e-11      -2.047693842426e-14 
   25       1.317039913867e-10       1.511806345217e-15       2.222685095391e-13       0.000000000000e+00       2.246000750146e-10       2.253677193532e-11      -9.447599863141e-15 
   26       1.336934817933e-10       1.727825392977e-15       2.272832348541e-13       0.000000000000e+00       2.089813614343e-10       2.107676083530e-11      -2.331878272492e-15 
   27       1.357258784398e-10       1.976711990889e-15       2.330399219507e-13       0.000000000000e+00       1.948668546768e-10       1.976942772929e-11       6.620871008341e-16 
   28       1.377655510841e-10       2.252057272043e-15       2.393544109652e-13       0.000000000000e+00       1.820132712550e-10       1.856395151773e-11      -9.525897465412e-17 
   29       1.398222351879e-10       2.553377841891e-15       2.459228011406e-13       0.000000000000e+00       1.703550512234e-10       1.745584862411e-11      -3.801164428822e-15 
   30       1.419101723500e-10       2.881917843490e-15       2.523094508371e-13       0.000000000000e+00       1.597671041141e-10       1.644630432885e-11      -9.226624685282e-15 
   31       1.440332185816e-10       3.238301828779e-15       2.580005826500e-13       0.000000000000e+00       1.500335692799e-10       1.552717887847e-11      -1.492866620453e-14 
   32       1.461942633799e-10       3.620417545898e-15       2.626239878712e-13       0.000000000000e+00       1.411042582309e-10       1.468921380351e-11      -2.002926971904e-14 
   33       1.483866091642e-10       4.024639252065e-15       2.658009011103e-13       0.000000000000e+00       1.329161009308e-10       1.391497646901e-11      -2.370100737843e-14 
   34       1.505973845971e-10       4.447817450842e-15       2.671636669354e-13       0.000000000000e+00       1.253545981667e-10       1.318309473750e-11      -2.518539338172e-14 
   35       1.528332213351e-10       4.892544928903e-15       2.666307504837e-13       0.000000000000e+00       1.183811085829e-10       1.249406737993e-11      -2.459200616693e-14 
   36       1.551019054047e-10       5.363799237369e-15       2.642298483574e-13       0.000000000000e+00       1.119397475411e-10       1.185261456241e-11      -2.238999392734e-14 
   37       1.574058373252e-10       5.866748481093e-15       2.600329634972e-13       0.000000000000e+00       1.059467509604e-10       1.126054347389e-11      -1.915231707454e-14 
   38       1.597454866573e-10       6.403718088437e-15       2.541715748272e-13       0.000000000000e+00       1.003866707214e-10       1.071670232759e-11      -1.535846169018e-14 
   39       1.621158473174e-10       6.976268060286e-15       2.468320922523e-13       0.000000000000e+00       9.524189559535e-11       1.021646243319e-11      -1.154171660859e-14 
