# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495442760291e-10       7.309265059079e-15       4.815171148059e-13       2.388861359118e-19       8.628903609679e-09       4.854772125959e-10      -2.515854151610e-12 
    3       1.409375667403e-10       1.238839452130e-14       6.068719461068e-13       4.780044773643e-19       5.411291720485e-09       3.469573589560e-10      -2.211507031146e-12 
    4       1.324638933482e-10       1.446592354284e-14       6.277975858834e-13       7.971819643774e-19       3.776588552356e-09       2.639785049442e-10      -1.764116067080e-12 
    5       1.257528916771e-10       1.337973190996e-14       5.879550144254e-13       1.196705761989e-18       2.821984229949e-09       2.093815834041e-10      -1.309529286442e-12 
    6       1.208087576822e-10       1.032478441011e-14       5.173987897671e-13       1.676916259871e-18       2.205212282906e-09       1.709429030498e-10      -8.948468925479e-13 
    7       1.173342233102e-10       6.843838595465e-15       4.365330660517e-13       2.238195789757e-18       1.778233642554e-09       1.425663906810e-10      -5.443860557764e-13 
    8       1.150094176234e-10       4.045255171758e-15       3.576614997224e-13       2.880956123274e-18       1.468351550446e-09       1.208855285654e-10      -2.689334595818e-13 
    9       1.135899948778e-10       2.339962952372e-15       2.880577371222e-13       3.605625244517e-18       1.235838580349e-09       1.038809728317e-10      -7.009986710530e-14 
   10       1.128613018655e-10       1.576066392445e-15       2.317780349509e-13       4.412633918881e-18       1.056623420503e-09       9.029297749337e-11       5.745597591400e-14 
   11       1.126830764047e-10       1.351208675890e-15       1.905546770805e-13       5.302402585680e-18       8.886898863088e-10       7.950622697147e-11       1.233291888125e-13 
   12       1.129466835444e-10       1.294588313326e-15       1.640599038157e-13       6.275329086621e-18       7.765278491469e-10       7.028426666215e-11       1.421600854688e-13 
   13       1.135320828741e-10       1.208007401011e-15       1.505250308334e-13       7.331777705993e-18       6.844563324241e-10       6.274647438439e-11       1.277329345144e-13 
   14       1.143407942317e-10       1.063264028759e-15       1.473981485503e-13       8.472069942825e-18       6.078507019714e-10       5.620932691492e-11       9.279532798926e-14 
   15       1.153792177159e-10       9.202377751965e-16       1.516646923095e-13       9.696477362659e-18       5.433693947954e-10       5.074770719896e-11       4.959311353048e-14 
